Upper_bound,Impression,Clicks,CTR,CPM,CPC
84,144373,79,0.0005471937273589937,45022.26178024977,82278.46835443038
86,141330,81,0.000573126724686903,45991.643670841295,80246.90123456791
88,140174,82,0.0005849872301568051,46370.93184185369,79268.28048780488
90,136005,85,0.0006249770229035698,47792.353222308004,76470.57647058823
92,134846,85,0.0006303486940658232,48203.12801269596,76470.57647058823
94,134144,85,0.0006336474236641221,48455.38376669848,76470.57647058823
96,132843,85,0.0006398530596267775,48929.93232612934,76470.57647058823
98,132120,85,0.0006433545261883137,49197.6914925825,76470.57647058823
100,131646,84,0.0006380748370630327,49374.83098612947,77380.94047619047
102,129196,82,0.0006346945725873866,50311.14740394439,79268.28048780488
104,128427,83,0.0006462815451579497,50612.402376447324,78313.24096385542
106,127885,84,0.0006568401298041209,50826.906986745904,77380.94047619047
108,127084,84,0.0006609801391205816,51147.26480123383,77380.94047619047
110,126207,84,0.0006655732249399795,51502.68210162669,77380.94047619047
112,125524,84,0.0006691947356680794,51782.91800771167,77380.94047619047
114,124673,82,0.0006577205970819664,52136.380772099816,79268.28048780488
116,124022,82,0.0006611730176904097,52410.04821725178,79268.28048780488
118,123475,81,0.0006560032395221705,52642.2271714922,80246.90123456791
120,122205,84,0.0006873695838959126,53189.30485659343,77380.94047619047
122,121291,86,0.0007090385931355171,53590.11798072405,75581.38372093023
124,120719,87,0.0007206819141974337,53844.042777027644,74712.63218390805
126,120017,87,0.0007248973062149529,54158.98581034354,74712.63218390805
128,119031,86,0.0007225008611202124,54607.6148230293,75581.38372093023
130,118276,84,0.0007102032534072847,54956.19567790592,77380.94047619047
132,117719,84,0.0007135636558244634,55216.22677732567,77380.94047619047
134,116632,85,0.0007287879827148639,55730.837163042735,76470.57647058823
136,116130,84,0.0007233273056057866,55971.74717988461,77380.94047619047
138,115553,83,0.0007182851159208329,56251.23536385901,78313.24096385542
140,115121,83,0.0007209805335255948,56462.32225223895,78313.24096385542
142,114138,84,0.0007359512169479052,56948.5973120258,77380.94047619047
144,113327,84,0.0007412178915880593,57356.13754886302,77380.94047619047
146,112880,85,0.0007530120481927711,57583.26541459958,76470.57647058823
148,112222,84,0.0007485163336957102,57920.897863164086,77380.94047619047
150,110735,85,0.0007675983203142638,58698.686052287,76470.57647058823
152,109507,86,0.0007853379236030573,59356.92695444127,75581.38372093023
154,109012,86,0.0007889039738744358,59626.45396837046,75581.38372093023
156,108660,86,0.0007914595987483895,59819.611632615495,75581.38372093023
158,107952,87,0.000805913739439751,60211.93678672003,74712.63218390805
160,107578,86,0.000799419955753035,60421.266429939205,75581.38372093023
162,105670,86,0.0008138544525409293,61512.24567048358,75581.38372093023
164,104942,86,0.0008195002954012692,61938.96628613902,75581.38372093023
166,104648,86,0.0008218026144790154,62112.97874780215,75581.38372093023
168,103555,84,0.0008111631500168992,62768.56742793685,77380.94047619047
170,102967,84,0.000815795351908864,63127.01156681267,77380.94047619047
172,102642,85,0.000828121042068549,63326.89347440619,76470.57647058823
174,102278,85,0.0008310682649250083,63552.26930522693,76470.57647058823
176,101839,85,0.0008346507722974499,63826.22570920767,76470.57647058823
178,100909,84,0.0008324331823722364,64414.46253555184,77380.94047619047
180,100653,85,0.0008444855096221672,64578.29374186562,76470.57647058823
182,99485,85,0.0008544001608282656,65336.472835100765,76470.57647058823
184,99002,85,0.0008585685137673986,65655.22918728915,76470.57647058823
186,98678,84,0.000851253572224812,65870.80200247269,77380.94047619047
188,98403,84,0.0008536325112039267,66054.88653801206,77380.94047619047
190,98032,84,0.0008568630651215929,66304.8698384201,77380.94047619047
192,97736,83,0.0008492264876811001,66505.67856265859,78313.24096385542
194,97304,83,0.0008529967935542219,66800.94343500781,78313.24096385542
196,96963,83,0.00085599661726638,67035.86935222714,78313.24096385542
198,96673,82,0.0008482202890155473,67236.96378513132,79268.28048780488
200,96313,81,0.0008410079636186184,67488.28299398835,80246.90123456791
202,94648,81,0.0008558025526160087,68675.50291606796,80246.90123456791
204,94291,80,0.0008484372845764707,68935.51876637219,81249.9875
206,94013,80,0.0008509461457458012,69139.36370501952,81249.9875
208,93732,80,0.0008534972047966543,69346.6372210131,81249.9875
210,93399,78,0.000835126714418784,69593.88216147924,83333.32051282052
212,92868,78,0.000839901796097687,69991.80557350218,83333.32051282052
214,92209,77,0.0008350594844321053,70492.02355518442,84415.57142857143
216,91790,78,0.0008497657696916875,70813.803246541,83333.32051282052
218,91500,78,0.0008524590163934427,71038.24043715847,83333.32051282052
220,91209,77,0.000844214934929667,71264.88614062208,84415.57142857143
222,90740,75,0.0008265373594886489,71633.22680185144,86666.65333333334
224,90457,75,0.0008291232298219043,71857.33552958864,86666.65333333334
226,89881,75,0.000834436644007076,72317.83135479134,86666.65333333334
228,89414,76,0.0008499787505312367,72695.5398483459,85526.30263157895
230,89139,76,0.000852600993953264,72919.81063283187,85526.30263157895
232,88938,75,0.0008432840855427376,73084.60950324945,86666.65333333334
234,88614,75,0.0008463673911571535,73351.82928205475,86666.65333333334
236,88359,74,0.0008374925021786123,73563.51927930374,87837.82432432432
238,87529,73,0.0008340092997749317,74261.09060996927,89041.08219178082
240,87290,73,0.0008362928170466262,74464.41745904456,89041.08219178082
242,86854,72,0.0008289773643125244,74838.2227646395,90277.76388888889
244,86637,72,0.0008310537068458049,75025.67032561146,90277.76388888889
246,86437,72,0.0008329766188090749,75199.26651781065,90277.76388888889
248,86205,72,0.0008352183748042457,75401.6472362392,90277.76388888889
250,85870,72,0.000838476767206242,75695.80761616398,90277.76388888889
252,85535,72,0.0008417606827614426,75992.27216928743,90277.76388888889
254,85231,72,0.0008447630556956976,76263.31968415248,90277.76388888889
256,85017,73,0.0008586517990519544,76455.28541350554,89041.08219178082
258,84815,73,0.0008606968107056535,76637.3754642457,89041.08219178082
260,84591,72,0.0008511543781253325,76840.31398139283,90277.76388888889
262,84164,71,0.0008435910840739509,77230.15778717742,91549.28169014085
264,83958,71,0.0008456609257009457,77419.65030134116,91549.28169014085
266,83653,71,0.0008487442171828865,77701.92342175415,91549.28169014085
268,83400,71,0.0008513189448441247,77937.63788968825,91549.28169014085
270,83305,71,0.0008522897785246984,78026.51701578537,91549.28169014085
272,83139,71,0.0008539915081971157,78182.30914492597,91549.28169014085
274,83055,71,0.0008548552164228524,78261.38101258202,91549.28169014085
276,82945,72,0.000868045090119959,78365.16969075894,90277.76388888889
278,82846,72,0.0008690823938391714,78458.81515100306,90277.76388888889
280,82766,72,0.0008699224319164875,78534.65191020467,90277.76388888889
282,82270,72,0.0008751671326121307,79008.13176127386,90277.76388888889
284,82143,72,0.0008765202147474527,79130.28499080872,90277.76388888889
286,82063,72,0.0008773746999256669,79207.4260019741,90277.76388888889
288,81924,72,0.0008788633367511352,79341.81680582002,90277.76388888889
290,81811,72,0.0008800772512253854,79451.40629010768,90277.76388888889
292,81703,72,0.000881240590920774,79556.42999645056,90277.76388888889
294,81585,72,0.000882515168229454,79671.4959857817,90277.76388888889
296,81502,72,0.0008834139039532772,79752.63183725553,90277.76388888889
298,81453,72,0.0008839453427129755,79800.60894012498,90277.76388888889
300,81405,72,0.0008844665561083472,79847.66291996806,90277.76388888889
302,81282,71,0.00087350212839251,79968.49240914348,91549.28169014085
